PAR,rETR,Colony,Treatment,Age
460,0,57,SS,60
0,0,58,SS,60
1,0.462,58,SS,60
20,6.72,58,SS,60
55,13.145,58,SS,60
110,14.08,58,SS,60
185,11.655,58,SS,60
280,0,58,SS,60
335,0,58,SS,60
395,0,58,SS,60
460,0,58,SS,60
0,0,59,SS,60
1,0.479,59,SS,60
20,6.82,59,SS,60
55,13.695,59,SS,60
110,17.05,59,SS,60
185,16.465,59,SS,60
280,0,59,SS,60
335,0,59,SS,60
395,0,59,SS,60
460,0,59,SS,60
0,0,60,SS,60
1,0.419,60,SS,60
20,4.2,60,SS,60
55,8.305,60,SS,60
110,7.81,60,SS,60
185,0,60,SS,60
280,0,60,SS,60
335,0,60,SS,60
395,0,60,SS,60
460,0,60,SS,60
0,0,61,SS,60
1,0.476,61,SS,60
20,5.8,61,SS,60
55,12.98,61,SS,60
110,15.73,61,SS,60
185,15.17,61,SS,60
280,0,61,SS,60
335,0,61,SS,60
395,0,61,SS,60
460,0,61,SS,60
0,0,62,SS,60
1,0.502,62,SS,60
20,6.66,62,SS,60
55,13.31,62,SS,60
110,12.43,62,SS,60
185,13.505,62,SS,60
280,0,62,SS,60
335,0,62,SS,60
395,0,62,SS,60
460,0,62,SS,60
0,0,63,SS,60
1,0.454,63,SS,60
20,4.18,63,SS,60
55,7.15,63,SS,60
110,8.47,63,SS,60
185,0,63,SS,60
280,0,63,SS,60
335,0,63,SS,60
395,0,63,SS,60
460,0,63,SS,60
0,0,64,SS,60
1,0.495,64,SS,60
20,3.9,64,SS,60
55,6.325,64,SS,60
110,0,64,SS,60
185,0,64,SS,60
280,0,64,SS,60
335,0,64,SS,60
395,0,64,SS,60
460,0,64,SS,60
