,Depth,Date,Time,Temp,Light
556,Deep,23/03/2022,16:15,21.52,366
557,Deep,23/03/2022,16:20,21.52,333.7
558,Deep,23/03/2022,16:25,21.52,285.3
559,Deep,23/03/2022,16:30,21.52,279.9
560,Deep,23/03/2022,16:35,21.52,290.7
561,Deep,23/03/2022,16:40,21.52,247.6
562,Deep,23/03/2022,16:45,21.47,193.8
563,Deep,23/03/2022,16:50,21.47,172.3
564,Deep,23/03/2022,16:55,21.47,145.3
565,Deep,23/03/2022,17:00,21.47,123.8
566,Deep,23/03/2022,17:05,21.47,102.3
567,Deep,23/03/2022,17:10,21.47,80.7
568,Deep,23/03/2022,17:15,21.47,70
569,Deep,23/03/2022,17:20,21.47,59.2
570,Deep,23/03/2022,17:25,21.47,48.5
571,Deep,23/03/2022,17:30,21.47,37.7
572,Deep,23/03/2022,17:35,21.47,26.9
573,Deep,23/03/2022,17:40,21.47,16.2
574,Deep,23/03/2022,17:45,21.47,10.8
575,Deep,23/03/2022,17:50,21.47,0
576,Deep,23/03/2022,17:55,21.47,0
577,Deep,23/03/2022,18:00,21.47,0
578,Deep,23/03/2022,18:05,21.47,0
579,Deep,23/03/2022,18:10,21.47,0
580,Deep,23/03/2022,18:15,21.47,0
581,Deep,23/03/2022,18:20,21.47,0
582,Deep,23/03/2022,18:25,21.47,0
583,Deep,23/03/2022,18:30,21.47,0
584,Deep,23/03/2022,18:35,21.47,0
585,Deep,23/03/2022,18:40,21.47,0
586,Deep,23/03/2022,18:45,21.47,0
587,Deep,23/03/2022,18:50,21.47,0
588,Deep,23/03/2022,18:55,21.47,0
589,Deep,23/03/2022,19:00,21.47,0
590,Deep,23/03/2022,19:05,21.47,0
591,Deep,23/03/2022,19:10,21.47,0
592,Deep,23/03/2022,19:15,21.47,0
593,Deep,23/03/2022,19:20,21.47,0
594,Deep,23/03/2022,19:25,21.47,0
595,Deep,23/03/2022,19:30,21.47,0
596,Deep,23/03/2022,19:35,21.47,0
597,Deep,23/03/2022,19:40,21.47,0
598,Deep,23/03/2022,19:45,21.47,0
599,Deep,23/03/2022,19:50,21.47,0
600,Deep,23/03/2022,19:55,21.47,0
601,Deep,23/03/2022,20:00,21.47,0
602,Deep,23/03/2022,20:05,21.47,0
603,Deep,23/03/2022,20:10,21.47,0
604,Deep,23/03/2022,20:15,21.47,0
605,Deep,23/03/2022,20:20,21.47,0
606,Deep,23/03/2022,20:25,21.47,0
607,Deep,23/03/2022,20:30,21.43,0
608,Deep,23/03/2022,20:35,21.43,0
609,Deep,23/03/2022,20:40,21.47,0
610,Deep,23/03/2022,20:45,21.47,0
611,Deep,23/03/2022,20:50,21.43,0
612,Deep,23/03/2022,20:55,21.47,0
613,Deep,23/03/2022,21:00,21.47,0
614,Deep,23/03/2022,21:05,21.47,0
615,Deep,23/03/2022,21:10,21.43,0
616,Deep,23/03/2022,21:15,21.43,0
617,Deep,23/03/2022,21:20,21.47,0
618,Deep,23/03/2022,21:25,21.47,0
619,Deep,23/03/2022,21:30,21.47,0
620,Deep,23/03/2022,21:35,21.43,0
621,Deep,23/03/2022,21:40,21.43,0
622,Deep,23/03/2022,21:45,21.43,0
623,Deep,23/03/2022,21:50,21.43,0
624,Deep,23/03/2022,21:55,21.43,0
625,Deep,23/03/2022,22:00,21.43,0
626,Deep,23/03/2022,22:05,21.43,0
627,Deep,23/03/2022,22:10,21.43,0
628,Deep,23/03/2022,22:15,21.43,0
629,Deep,23/03/2022,22:20,21.43,0
630,Deep,23/03/2022,22:25,21.43,0
631,Deep,23/03/2022,22:30,21.43,0
632,Deep,23/03/2022,22:35,21.43,0
633,Deep,23/03/2022,22:40,21.43,0
634,Deep,23/03/2022,22:45,21.38,0
635,Deep,23/03/2022,22:50,21.38,0
636,Deep,23/03/2022,22:55,21.38,0
637,Deep,23/03/2022,23:00,21.38,0
638,Deep,23/03/2022,23:05,21.38,0
639,Deep,23/03/2022,23:10,21.38,0
640,Deep,23/03/2022,23:15,21.38,0
641,Deep,23/03/2022,23:20,21.38,0
642,Deep,23/03/2022,23:25,21.38,0
643,Deep,23/03/2022,23:30,21.38,0
644,Deep,23/03/2022,23:35,21.38,0
645,Deep,23/03/2022,23:40,21.38,0
646,Deep,23/03/2022,23:45,21.38,0
647,Deep,23/03/2022,23:50,21.38,0
648,Deep,23/03/2022,23:55,21.38,0
649,Deep,24/03/2022,00:00,21.38,0
